site_seq,sitecode,site,year,sample_date,sample_id,code,samp_pt_name,lab,lab_id,method,method_name,parameter,concentration,units,lab_qualifier,qualifier,qual_description,rl,mdl,prep_method,dilution_factor,cas_no,conc_ugg,conc_ngg,rl_ugg,rl_ngg
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,AXYS ANALYTICAL SERVICES,L10702-43,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),0.548,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,5.48e-7,5.480000000000001e-4,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,AXYS ANALYTICAL SERVICES,L10702-43,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,14122.773,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.014122772999999998,14.122772999999999,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 4,CBJWPB_REP_4_2007_2,REP 4,AXYS ANALYTICAL SERVICES,L10702-44,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,15163.0105,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.015163010499999999,15.1630105,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 4,CBJWPB_REP_4_2007_2,REP 4,AXYS ANALYTICAL SERVICES,L10702-44,MLA-007-E2,AXYS INTERNAL METHOD FOR PESTICIDES,TOTAL PESTICIDES21-H,6.37225,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.00637225,6.37225,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 4,CBJWPB_REP_4_2007_2,REP 4,AXYS ANALYTICAL SERVICES,L10702-44,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),0.488,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,4.879999999999999e-7,4.88e-4,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 1,CBANAN_REP_1_2007_1,REP 1,AXYS ANALYTICAL SERVICES,L10702-1 CL,MLA-007-E1,AXYS INTERNAL METHOD FOR DETERMINATION OF ORGANOCHLORINE PESTICIDES IN WATER BY CAPILLARY GAS CHROMATOGRAPHY,TOTAL PESTICIDES21-H,13.1875,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.0131875,13.1875,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 4,CBJWPB_REP_4_2007_2,REP 4,AXYS ANALYTICAL SERVICES,L10702-44 L,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,33.9385,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.033938499999999996,33.9385,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 1,CBANAN_REP_1_2007_1,REP 1,AXYS ANALYTICAL SERVICES,L10702-1,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),0.176,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.76e-7,1.76e-4,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 2,CBANAN_REP_2_2007_1,REP 2,AXYS ANALYTICAL SERVICES,L10702-2 CL,MLA-007-E1,AXYS INTERNAL METHOD FOR DETERMINATION OF ORGANOCHLORINE PESTICIDES IN WATER BY CAPILLARY GAS CHROMATOGRAPHY,TOTAL PESTICIDES21-H,14.87455,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.01487455,14.87455,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 1,CBANAN_REP_1_2007_1,REP 1,AXYS ANALYTICAL SERVICES,L10702-1,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,32414.382,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.032414382,32.414382,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 2,CBANAN_REP_2_2007_1,REP 2,AXYS ANALYTICAL SERVICES,L10702-2,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),1.27,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.27e-6,0.00127,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 2,CBANAN_REP_2_2007_1,REP 2,AXYS ANALYTICAL SERVICES,L10702-2,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,35289.8385,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.0352898385,35.2898385,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 1,CBANAN_REP_1_2007_1,REP 1,AXYS ANALYTICAL SERVICES,L10702-1,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,157.831,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.157831,157.831,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 2,CBANAN_REP_2_2007_1,REP 2,AXYS ANALYTICAL SERVICES,L10702-2,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,122.248,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.12224800000000001,122.248,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 3,CBANAN_REP_3_2007_1,REP 3,AXYS ANALYTICAL SERVICES,L10702-3 (A),E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),1.53,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.53e-6,0.0015300000000000001,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 3,CBANAN_REP_3_2007_1,REP 3,AXYS ANALYTICAL SERVICES,L10702-3 (A),E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,92076.852,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.092076852,92.076852,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 3,CBANAN_REP_3_2007_1,REP 3,AXYS ANALYTICAL SERVICES,L10702-3 CL,MLA-007-E1,AXYS INTERNAL METHOD FOR DETERMINATION OF ORGANOCHLORINE PESTICIDES IN WATER BY CAPILLARY GAS CHROMATOGRAPHY,TOTAL PESTICIDES21-H,16.261,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.016261,16.261,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 3,CBANAN_REP_3_2007_1,REP 3,AXYS ANALYTICAL SERVICES,L10702-3,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,164.645,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.164645,164.645,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 4,CBANAN_REP_4_2007_1,REP 4,AXYS ANALYTICAL SERVICES,L10702-4 CL,MLA-007-E1,AXYS INTERNAL METHOD FOR DETERMINATION OF ORGANOCHLORINE PESTICIDES IN WATER BY CAPILLARY GAS CHROMATOGRAPHY,TOTAL PESTICIDES21-H,16.344,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.016344,16.344,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 4,CBANAN_REP_4_2007_1,REP 4,AXYS ANALYTICAL SERVICES,L10702-4,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),1.27,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.27e-6,0.00127,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 4,CBANAN_REP_4_2007_1,REP 4,AXYS ANALYTICAL SERVICES,L10702-4,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,36818.9335,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.0368189335,36.8189335,NA,NA
76073,CBANAN,FALMOUTH ANCHORAGE,2007,2007-10-18,CBANAN REP 4,CBANAN_REP_4_2007_1,REP 4,AXYS ANALYTICAL SERVICES,L10702-4,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,228.566,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.22856600000000002,228.566,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 1,CBMCMC_REP_1_2009_5,REP 1,AXYS ANALYTICAL SERVICES,L13939-9,CALCULATED WHO2005,WORLD HEALTH ORGANIZATION'S 2005 PROJECT FOR THE RE-EVALUATION OF HUMAN AND MAMMALIAN TOXIC EQUIVALENCY FACTORS (TEFS) OF DIOXINS AND DIOXIN-LIKE COMPOUNDS,PCB TOTAL TEQ (ND=1/2 DL),1.2,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.2e-6,0.0012,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 2,CBMCMC_REP_2_2009_5,REP 2,AXYS ANALYTICAL SERVICES,L13939-10 I,CALCULATED WHO2005,WORLD HEALTH ORGANIZATION'S 2005 PROJECT FOR THE RE-EVALUATION OF HUMAN AND MAMMALIAN TOXIC EQUIVALENCY FACTORS (TEFS) OF DIOXINS AND DIOXIN-LIKE COMPOUNDS,PCB TOTAL TEQ (ND=1/2 DL),1.05,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.05e-6,0.0010500000000000002,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 1,CBMCMC_REP_1_2009_5,REP 1,AXYS ANALYTICAL SERVICES,L13939-9,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,46301.845,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.046301845,46.301845,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 1,CBMCMC_REP_1_2009_5,REP 1,AXYS ANALYTICAL SERVICES,L13939-9,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH-H,439.28445,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14284,0.43928445,439.28445,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 1,CBMCMC_REP_1_2009_5,REP 1,AXYS ANALYTICAL SERVICES,L13939-9,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,93.763,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.09376300000000001,93.763,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 1,CBMCMC_REP_1_2009_5,REP 1,AXYS ANALYTICAL SERVICES,L13939-9,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH24-H,130.773,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14290,0.130773,130.773,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 1,CBMCMC_REP_1_2009_5,REP 1,AXYS ANALYTICAL SERVICES,L13939-9,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH40-H,369.288,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14293,0.369288,369.288,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 2,CBMCMC_REP_2_2009_5,REP 2,AXYS ANALYTICAL SERVICES,L13939-10 I,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,39900.72,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.03990072,39.90072,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 1,CBMCMC_REP_1_2009_5,REP 1,AXYS ANALYTICAL SERVICES,L13939-9,MLA-035,AXYS INTERNAL METHOD FOR ANALYSIS OF MULTI-RESIDUE PESTICIDES BY HRGC/HRMS.  BASED ON EPA 1699.,TOTAL PESTICIDES21-H,13.27655,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.01327655,13.27655,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 2,CBMCMC_REP_2_2009_5,REP 2,AXYS ANALYTICAL SERVICES,L13939-10 I,MLA-035,AXYS INTERNAL METHOD FOR ANALYSIS OF MULTI-RESIDUE PESTICIDES BY HRGC/HRMS.  BASED ON EPA 1699.,TOTAL PESTICIDES21-H,14.32365,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.01432365,14.32365,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 2,CBMCMC_REP_2_2009_5,REP 2,AXYS ANALYTICAL SERVICES,L13939-10,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH-H,524.2615,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14284,0.5242614999999999,524.2615,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 2,CBMCMC_REP_2_2009_5,REP 2,AXYS ANALYTICAL SERVICES,L13939-10,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,106.9915,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.1069915,106.9915,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 3,CBMCMC_REP_3_2009_5,REP 3,AXYS ANALYTICAL SERVICES,L13939-11 I (A),CALCULATED WHO2005,WORLD HEALTH ORGANIZATION'S 2005 PROJECT FOR THE RE-EVALUATION OF HUMAN AND MAMMALIAN TOXIC EQUIVALENCY FACTORS (TEFS) OF DIOXINS AND DIOXIN-LIKE COMPOUNDS,PCB TOTAL TEQ (ND=1/2 DL),1.25,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.2499999999999999e-6,0.00125,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 2,CBMCMC_REP_2_2009_5,REP 2,AXYS ANALYTICAL SERVICES,L13939-10,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH24-H,145.9315,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14290,0.1459315,145.9315,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 2,CBMCMC_REP_2_2009_5,REP 2,AXYS ANALYTICAL SERVICES,L13939-10,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH40-H,439.4645,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14293,0.4394645,439.4645,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 3,CBMCMC_REP_3_2009_5,REP 3,AXYS ANALYTICAL SERVICES,L13939-11 I (A),E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,44863.0685,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.0448630685,44.863068500000004,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 3,CBMCMC_REP_3_2009_5,REP 3,AXYS ANALYTICAL SERVICES,L13939-11,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH-H,420.6555,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14284,0.4206555,420.6555,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 3,CBMCMC_REP_3_2009_5,REP 3,AXYS ANALYTICAL SERVICES,L13939-11,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,92.6975,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.0926975,92.6975,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 3,CBMCMC_REP_3_2009_5,REP 3,AXYS ANALYTICAL SERVICES,L13939-11,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH24-H,123.2275,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14290,0.1232275,123.2275,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 3,CBMCMC_REP_3_2009_5,REP 3,AXYS ANALYTICAL SERVICES,L13939-11,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH40-H,350.6715,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14293,0.35067149999999997,350.6715,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 3,CBMCMC_REP_3_2009_5,REP 3,AXYS ANALYTICAL SERVICES,L13939-11,MLA-035,AXYS INTERNAL METHOD FOR ANALYSIS OF MULTI-RESIDUE PESTICIDES BY HRGC/HRMS.  BASED ON EPA 1699.,TOTAL PESTICIDES21-H,14.17595,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.014175950000000001,14.17595,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 4,CBMCMC_REP_4_2009_5,REP 4,AXYS ANALYTICAL SERVICES,L13939-12 I,CALCULATED WHO2005,WORLD HEALTH ORGANIZATION'S 2005 PROJECT FOR THE RE-EVALUATION OF HUMAN AND MAMMALIAN TOXIC EQUIVALENCY FACTORS (TEFS) OF DIOXINS AND DIOXIN-LIKE COMPOUNDS,PCB TOTAL TEQ (ND=1/2 DL),1.36,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,1.3600000000000001e-6,0.00136,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 4,CBMCMC_REP_4_2009_5,REP 4,AXYS ANALYTICAL SERVICES,L13939-12,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH-H,517.4365,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14284,0.5174365000000001,517.4365,NA,NA
70678,CBMCMC,MILL CREEK,2009,2009-11-10,CBMCMC REP 4,CBMCMC_REP_4_2009_5,REP 4,AXYS ANALYTICAL SERVICES,L13939-12,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,91.565,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.091565,91.565,NA,NA
